,name,age,pos1,pos2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player.1
22,Gaëtan Laborde Montpellier,27, AM(CLR),FW,4,342,3,-,3.5,1.0,0.3,0.8,-,0.8,2.0,7.47,"Gaëtan Laborde Montpellier, 27, AM(CLR),FW"
23,Neymar PSG,29, AM(CLR),FW,10,831,3,3,2,2.3,3.7,3.1,0.4,2.5,3.6,7.46,"Neymar PSG, 29, AM(CLR),FW"
24,Dominic Calvert-Lewin Everton,24, AM(L),FW,4,339,3,-,3.8,0.8,-,1.5,-,0.3,2.5,7.46,"Dominic Calvert-Lewin Everton, 24, AM(L),FW"
25,Conor Gallagher Crystal Palace,21, AM(C),,17,1484,6,3,2,1.8,1.3,1.8,0.1,1.6,1.9,7.46,"Conor Gallagher Crystal Palace, 21, AM(C)"
26,Leroy Sané Bayern,26, M(CLR),FW,14(3),1117,5,5,3.2,2.0,2.4,0.8,0.4,1.5,2.1,7.45,"Leroy Sané Bayern, 26, M(CLR),FW"
27,Miguel Gutiérrez Real Madrid,20, D(L),,3,262,-,1,-,1.0,2,2.7,-,0.7,0.3,7.44,"Miguel Gutiérrez Real Madrid, 20, D(L)"
28,Domenico Berardi Sassuolo,27, AM(R),FW,19,1661,10,8,3.4,2.3,0.8,2.3,0.4,1.2,1.9,7.44,"Domenico Berardi Sassuolo, 27, AM(R),FW"
29,Lorenzo Pellegrini Roma,25, M(C),,15,1246,6,4,3.5,2.9,1.7,1.8,0.2,0.9,2.2,7.43,"Lorenzo Pellegrini Roma, 25, M(C)"
30,Paulo Dybala Juventus,28, AM(CR),FW,13(2),1053,6,3,4.0,1.7,1.7,1.8,0.3,0.5,2.3,7.43,"Paulo Dybala Juventus, 28, AM(CR),FW"
31,Bernardo Silva Man City,27, M(CLR),FW,20,1706,7,1,1.3,1.6,1.7,1.1,0.4,0.9,1.5,7.42,"Bernardo Silva Man City, 27, M(CLR),FW"
32,Nabil Fekir Real Betis,28, AM(CLR),FW,17(1),1504,4,3,2.8,2.3,2.2,2.4,0.2,3.0,3.1,7.42,"Nabil Fekir Real Betis, 28, AM(CLR),FW"
33,Joshua Kimmich Bayern,26, D(CR),DMC,12,1062,3,3,1.1,2.3,0.2,1.3,0.1,0.7,1.3,7.42,"Joshua Kimmich Bayern, 26, D(CR),DMC,M(R)"
34,Mateo Kovacic Chelsea,27, M(CL),,10(3),937,2,5,1.2,1.1,2.1,0.9,-,0.9,0.8,7.4,"Mateo Kovacic Chelsea, 27, M(CL)"
35,Sofiane Boufal Angers,28, AM(CLR),FW,17(1),1447,5,3,2.1,2.0,3.2,3.0,0.4,2.1,3.6,7.4,"Sofiane Boufal Angers, 28, AM(CLR),FW"
36,Sergej Milinkovic-Savic Lazio,26, AM(C),,19(1),1593,7,7,2.2,1.4,1.1,1.3,0.2,1.2,2.5,7.39,"Sergej Milinkovic-Savic Lazio, 26, AM(C)"
37,Ludovic Ajorque Strasbourg,27, FW,,17(1),1435,10,6,1.9,1.3,0.6,1.0,0.3,0.9,2.2,7.39,"Ludovic Ajorque Strasbourg, 27, FW"
38,Rodri Man City,25, DMC,,17,1474,3,1,1.0,1.0,0.5,0.5,-,0.6,0.5,7.39,"Rodri Man City, 25, DMC"
39,Giovanni Reyna Borussia Dortmund,19, AM(CLR),,3,221,2,-,2.0,2.7,1.3,1.7,-,2.3,1.3,7.39,"Giovanni Reyna Borussia Dortmund, 19, AM(CLR)"
40,Lionel Messi PSG,34, AM(CR),FW,10(1),866,1,4,3.9,2.2,2.3,1.9,0.4,1.5,2.5,7.38,"Lionel Messi PSG, 34, AM(CR),FW"
41,Memphis Depay Barcelona,27, AM(CL),FW,15(1),1379,8,2,2.7,2.2,1.9,2.3,0.6,1.6,3.5,7.38,"Memphis Depay Barcelona, 27, AM(CL),FW"
42,Alphonso Davies Bayern,21, D(L),M(LR),15(1),1270,-,3,1,1.6,3.8,1.1,0.1,0.9,2.4,7.37,"Alphonso Davies Bayern, 21, D(L),M(LR)"
43,Nico Schlotterbeck Freiburg,22, D(C),,17,1464,2,-,1.3,0.5,0.6,1.4,-,0.5,0.9,7.37,"Nico Schlotterbeck Freiburg, 22, D(C)"
44,Lucas Höler Freiburg,27, AM(CLR),FW,18,1519,4,1,2,1.3,0.7,1.9,0.6,0.9,3.1,7.36,"Lucas Höler Freiburg, 27, AM(CLR),FW"
45,Joselu Deportivo Alaves,31, FW,,18(2),1670,10,2,2.4,1,0.4,1.6,0.2,1,2.5,7.35,"Joselu Deportivo Alaves, 31, FW"
46,João Cancelo Man City,27, D(LR),M(R),20,1788,1,4,2.2,1.1,1.1,0.6,0.1,0.6,1.2,7.35,"João Cancelo Man City, 27, D(LR),M(R)"
47,Ilkay Gündogan Man City,31, M(C),,12(2),1059,4,3,2.2,1.8,1.1,0.4,0.1,0.7,0.9,7.34,"Ilkay Gündogan Man City, 31, M(C)"
48,Mamadou Mbow Reims,21, Defender,,1,90,-,-,-,-,1.0,-,-,-,-,7.33,"Mamadou Mbow Reims, 21, Defender"
49,Bremer Torino,24, D(C),,19,1650,2,1,0.8,0.4,0.6,0.5,0.1,0.2,0.8,7.32,"Bremer Torino, 24, D(C)"
50,Amine Gouiri Nice,21, AM(L),FW,17(3),1535,9,5,2.1,1.7,1.9,0.7,0.2,1.6,2.0,7.32,"Amine Gouiri Nice, 21, AM(L),FW"
51,Casemiro Real Madrid,29, DMC,,18(1),1581,-,3,1.2,0.8,0.6,1.3,0.1,0.5,1.2,7.31,"Casemiro Real Madrid, 29, DMC"
52,Dusan Vlahovic Fiorentina,21, FW,,20,1772,16,2,3.5,1.0,1.0,2.5,0.9,2.1,4.0,7.31,"Dusan Vlahovic Fiorentina, 21, FW"
53,Phil Foden Man City,21, AM(CLR),FW,10(3),921,5,3,2.1,1.7,0.8,0.8,0.7,1.5,1.8,7.3,"Phil Foden Man City, 21, AM(CLR),FW"
54,Serge Gnabry Bayern,26, AM(CLR),FW,12(6),1042,9,3,2.1,0.9,2.0,0.6,0.3,0.3,2.2,7.29,"Serge Gnabry Bayern, 26, AM(CLR),FW"
55,Florian Wirtz Leverkusen,18, AM(C),,14(2),1224,5,8,1.6,2.3,1.8,0.9,0.4,0.9,2.6,7.29,"Florian Wirtz Leverkusen, 18, AM(C)"
56,Jude Bellingham Borussia Dortmund,18, M(CLR),,16,1360,3,5,1.6,1.3,2.1,2.8,0.1,2.1,2.2,7.28,"Jude Bellingham Borussia Dortmund, 18, M(CLR)"
57,Fabián Ruiz Napoli,25, M(CL),,15(1),1297,5,2,1.3,1.3,0.3,0.8,-,0.5,0.8,7.27,"Fabián Ruiz Napoli, 25, M(CL)"
58,Filip Kostic Eintracht Frankfurt,29, M(LR),FW,16(1),1449,3,7,1.9,2.7,1.1,0.7,0.1,1.1,1.9,7.27,"Filip Kostic Eintracht Frankfurt, 29, M(LR),FW"
59,Konstantinos Mavropanos Stuttgart,24, D(C),,15,1310,4,-,0.8,0.2,0.5,0.7,0.1,0.3,0.9,7.27,"Konstantinos Mavropanos Stuttgart, 24, D(C)"
60,Ciro Immobile Lazio,31, FW,,17,1458,15,2,3.5,0.8,0.6,1.2,0.5,1.5,2.6,7.26,"Ciro Immobile Lazio, 31, FW"
61,Martin Braithwaite Barcelona,30, AM(CLR),FW,3,226,2,1,2.3,0.7,0.7,0.7,0.7,1.3,1.7,7.26,"Martin Braithwaite Barcelona, 30, AM(CLR),FW"
62,Romain Faivre Brest,23, AM(CLR),,18(1),1622,7,5,1.9,1.9,2.1,1.3,0.1,1.6,2.9,7.26,"Romain Faivre Brest, 23, AM(CLR)"
63,Jonathan Clauss Lens,29, D(R),M(R),18(1),1600,2,8,0.7,2.2,0.6,0.4,0.2,0.4,0.9,7.25,"Jonathan Clauss Lens, 29, D(R),M(R)"
64,Tammy Abraham Roma,24, FW,,20,1680,8,3,2.7,1.1,1.0,1.2,0.6,1.1,2.5,7.25,"Tammy Abraham Roma, 24, FW"
65,David Raum Hoffenheim,23, D(L),M(LR),16(1),1424,2,5,0.9,2.5,0.9,1.2,0.1,0.4,1.5,7.25,"David Raum Hoffenheim, 23, D(L),M(LR)"
66,Toni Kroos Real Madrid,32, M(C),,14,1198,1,3,2.4,2.4,0.4,1.9,-,0.4,0.4,7.25,"Toni Kroos Real Madrid, 32, M(C)"
67,Juan Cuadrado Juventus,33, D(R),M(CLR),16(3),1454,4,-,1.1,1.7,1.4,1.5,-,0.5,1.0,7.25,"Juan Cuadrado Juventus, 33, D(R),M(CLR),FW"
68,Rafael Leão AC Milan,22, AM(L),FW,14(3),1185,5,3,2.6,0.9,2.5,1.5,0.2,1.2,1.9,7.25,"Rafael Leão AC Milan, 22, AM(L),FW"
69,Declan Rice West Ham,22, D(C),DMC,19,1710,1,4,0.7,0.8,1.5,0.4,-,0.4,0.8,7.24,"Declan Rice West Ham, 22, D(C),DMC"
70,Victor Osimhen Napoli,23, FW,,11,850,5,-,3.3,0.7,1.4,1.6,0.6,0.6,3.5,7.24,"Victor Osimhen Napoli, 23, FW"
71,Son Heung-Min Tottenham,29, M(CLR),FW,17,1488,8,3,2.6,1.9,1.6,0.8,0.5,1.6,2.1,7.24,"Son Heung-Min Tottenham, 29, M(CLR),FW"
72,Jack Grealish Man City,26, AM(CL),FW,13(1),1068,2,2,1.9,2.2,1.6,2.4,0.3,1,1.1,7.23,"Jack Grealish Man City, 26, AM(CL),FW"
