,user,size,fit,star,text,gender,height,weight
29,"여성, 160cm, 74kg",M,보통이에요,5.0,회색맨투맨이 없어서 구매했는데 만족스럽네용 제가 뱃살 개심한데 시보리 좀 올려입으면 뱃살 커버해줘요ㅋㅋ실측사이즈 보고 M샀는데 L샀으면 더 뚱뚱해보이고 핏도 이상했을거같아요 다행이에요.. 두께는 얇긴한데 안에 반팔도 겹쳐입어서 딱히 춥진않아요 봄가을에 입기 딱좋은거같아요!,여성,160cm,74kg
30,"남성, 166cm, 51kg",M,보통이에요,5.0,"팔길이, 전체길이 다 적당해서 이뻐요
남여 구분없이 입을 수 있을 것 같아서 좋은 듯",남성,166cm,51kg
31,"남성, 178cm, 74kg",L,보통이에요,5.0,"검은색 맨투맨 고민할 필요가 있나여??
마크 곤잘레스 원툴로 가야하는거 아닌가여?
스몰로고가 너무 귀여워여!!",남성,178cm,74kg
32,"남성, 173cm, 70kg",M,보통이에요,5.0,로고가 깔끔하게 들어가서 이뻐요 사이즈도 딱입니다,남성,173cm,70kg
33,"남성, 175cm, 80kg",X,보통이에요,5.0,동생 주려고 구매했어요 딱 예쁘게 잘 맞아요 색깔이 예쁘네요,남성,175cm,80kg
34,"남성, 167cm, 68kg",M,보통이에요,5.0,생각보단 살짝 크긴 한데 재질도 좋고 정말 편해요,남성,167cm,68kg
35,"남성, 172cm, 60kg",M,보통이에요,5.0,무난무난한 검정맨투맨입니다 블프때 싸게 잘 샀네요,남성,172cm,60kg
36,"여성, 168cm, 45kg",M,보통이에요,5.0,"레이어드해서 입기 좋아요. 재질도 좋고 세탁 후 변형도 없어요.
강추합니다.",여성,168cm,45kg
37,"여성, 162cm, 54kg",S,보통이에요,5.0,블랙프라이데이 세일로 저렴하게 구매했구 별 기대 안 했는데 핏도 예쁘고 넘 좋습니당,여성,162cm,54kg
38,"남성, 173cm, 63kg",X,보통이에요,5.0,"마크곤잘레스가 교복인가봐요..
아드님 사드렸더니 좋아해요",남성,173cm,63kg
39,"여성, 164cm, 56kg",M,커요,5.0,완전 편하고 부드러워서 자주 입고 다녀요 아주 좋습니다,여성,164cm,56kg
40,"남성, 171cm, 60kg",M,보통이에요,5.0,진짜 좋음 예쁘고 딱 좋아요 여러분 다 사는걸 추천함 가격대비도 나쁘지않아요,남성,171cm,60kg
